
Command: mnist_softmax_dg.py --drop_grads_prob=0.5 --out_file=results_0.5.txt --batches=20000

Command: mnist_softmax_dg.py --drop_grads_prob=0.5 --out_file=results_0.5.txt --batches=20000
step 0, training accuracy 0.08, test accuracy 0.1005
step 100, training accuracy 0.8, test accuracy 0.8008
step 200, training accuracy 0.88, test accuracy 0.8796
step 300, training accuracy 0.86, test accuracy 0.9129
step 400, training accuracy 0.84, test accuracy 0.9229
step 500, training accuracy 0.9, test accuracy 0.9362
step 600, training accuracy 0.88, test accuracy 0.9371
step 700, training accuracy 0.94, test accuracy 0.9402
step 800, training accuracy 0.92, test accuracy 0.943
step 900, training accuracy 0.94, test accuracy 0.9527
step 1000, training accuracy 0.98, test accuracy 0.9502
step 1100, training accuracy 1, test accuracy 0.9597
step 1200, training accuracy 0.98, test accuracy 0.9607
step 1300, training accuracy 0.92, test accuracy 0.9598
step 1400, training accuracy 0.9, test accuracy 0.964
step 1500, training accuracy 0.94, test accuracy 0.963
step 1600, training accuracy 0.88, test accuracy 0.965
step 1700, training accuracy 0.96, test accuracy 0.9683
step 1800, training accuracy 0.96, test accuracy 0.9663
step 1900, training accuracy 0.98, test accuracy 0.9656
step 2000, training accuracy 0.96, test accuracy 0.9696
step 2100, training accuracy 1, test accuracy 0.9688
step 2200, training accuracy 0.96, test accuracy 0.9693
step 2300, training accuracy 0.98, test accuracy 0.974
step 2400, training accuracy 1, test accuracy 0.9706
step 2500, training accuracy 0.96, test accuracy 0.9719
step 2600, training accuracy 0.96, test accuracy 0.9733
step 2700, training accuracy 1, test accuracy 0.9743
step 2800, training accuracy 0.98, test accuracy 0.9729
step 2900, training accuracy 0.96, test accuracy 0.9732
step 3000, training accuracy 0.98, test accuracy 0.9762
step 3100, training accuracy 0.94, test accuracy 0.975
step 3200, training accuracy 0.98, test accuracy 0.9783
step 3300, training accuracy 0.96, test accuracy 0.978
step 3400, training accuracy 0.96, test accuracy 0.9775
step 3500, training accuracy 0.98, test accuracy 0.98
step 3600, training accuracy 1, test accuracy 0.9779
step 3700, training accuracy 0.98, test accuracy 0.9785
step 3800, training accuracy 1, test accuracy 0.9809
step 3900, training accuracy 0.94, test accuracy 0.9795
step 4000, training accuracy 0.96, test accuracy 0.9808
step 4100, training accuracy 0.96, test accuracy 0.979
step 4200, training accuracy 1, test accuracy 0.9805
step 4300, training accuracy 0.98, test accuracy 0.9813
step 4400, training accuracy 0.98, test accuracy 0.9805
step 4500, training accuracy 1, test accuracy 0.9835
step 4600, training accuracy 0.98, test accuracy 0.983
step 4700, training accuracy 0.96, test accuracy 0.9826
step 4800, training accuracy 0.94, test accuracy 0.9826
step 4900, training accuracy 1, test accuracy 0.9823
step 5000, training accuracy 0.98, test accuracy 0.9841
step 5100, training accuracy 0.98, test accuracy 0.9841
step 5200, training accuracy 0.98, test accuracy 0.9806
step 5300, training accuracy 1, test accuracy 0.9828
step 5400, training accuracy 0.98, test accuracy 0.9812
step 5500, training accuracy 0.96, test accuracy 0.9836
step 5600, training accuracy 1, test accuracy 0.9845
step 5700, training accuracy 0.96, test accuracy 0.9838
step 5800, training accuracy 0.98, test accuracy 0.983
step 5900, training accuracy 1, test accuracy 0.9833
step 6000, training accuracy 1, test accuracy 0.9825
step 6100, training accuracy 1, test accuracy 0.9843
step 6200, training accuracy 1, test accuracy 0.9841
step 6300, training accuracy 0.98, test accuracy 0.9865
step 6400, training accuracy 0.98, test accuracy 0.9862
step 6500, training accuracy 0.94, test accuracy 0.9854
step 6600, training accuracy 0.96, test accuracy 0.9848
step 6700, training accuracy 1, test accuracy 0.9854
step 6800, training accuracy 1, test accuracy 0.9842
step 6900, training accuracy 0.98, test accuracy 0.9879
step 7000, training accuracy 0.98, test accuracy 0.9856
step 7100, training accuracy 1, test accuracy 0.9859
step 7200, training accuracy 1, test accuracy 0.9868
step 7300, training accuracy 0.98, test accuracy 0.9856
step 7400, training accuracy 1, test accuracy 0.987
