
Command: mnist_softmax_dg.py --drop_grads_prob=0 --out_file=results_0.txt --batches=20000
step 0, training accuracy 0.12, test accuracy 0.1106

Command: mnist_softmax_dg.py --drop_grads_prob=0 --out_file=results_0.txt --batches=20000
step 0, training accuracy 0.12, test accuracy 0.1135
step 100, training accuracy 0.9, test accuracy 0.8416
step 200, training accuracy 0.88, test accuracy 0.9074
step 300, training accuracy 0.94, test accuracy 0.9278
step 400, training accuracy 0.96, test accuracy 0.9368
step 500, training accuracy 0.96, test accuracy 0.9436
step 600, training accuracy 0.9, test accuracy 0.9474
step 700, training accuracy 0.94, test accuracy 0.9534
step 800, training accuracy 0.96, test accuracy 0.9547
step 900, training accuracy 0.96, test accuracy 0.9606
step 1000, training accuracy 0.96, test accuracy 0.9639
step 1100, training accuracy 0.96, test accuracy 0.9651
step 1200, training accuracy 0.98, test accuracy 0.966
step 1300, training accuracy 0.98, test accuracy 0.9679
step 1400, training accuracy 0.98, test accuracy 0.9703
step 1500, training accuracy 0.98, test accuracy 0.9673
step 1600, training accuracy 0.96, test accuracy 0.9696
step 1700, training accuracy 0.96, test accuracy 0.974
step 1800, training accuracy 0.96, test accuracy 0.974
step 1900, training accuracy 0.96, test accuracy 0.9747
step 2000, training accuracy 1, test accuracy 0.9759
step 2100, training accuracy 0.96, test accuracy 0.9777

Command: mnist_softmax_dg.py --drop_grads_prob=0 --out_file=results_0.txt --batches=20000
step 0, training accuracy 0.06, test accuracy 0.0939

Command: mnist_softmax_dg.py --drop_grads_prob=0 --out_file=results_0.txt --batches=20000
step 0, training accuracy 0.08, test accuracy 0.079
step 100, training accuracy 0.88, test accuracy 0.8613
step 200, training accuracy 0.88, test accuracy 0.9071
step 300, training accuracy 0.86, test accuracy 0.924
step 400, training accuracy 0.9, test accuracy 0.939
step 500, training accuracy 0.98, test accuracy 0.9445
step 600, training accuracy 1, test accuracy 0.9477
step 700, training accuracy 0.9, test accuracy 0.9529
step 800, training accuracy 0.94, test accuracy 0.9574
step 900, training accuracy 0.9, test accuracy 0.9618
step 1000, training accuracy 0.92, test accuracy 0.9643
step 1100, training accuracy 0.96, test accuracy 0.9633
step 1200, training accuracy 0.96, test accuracy 0.9659
step 1300, training accuracy 0.96, test accuracy 0.9682
step 1400, training accuracy 0.98, test accuracy 0.9686
step 1500, training accuracy 0.98, test accuracy 0.9692
step 1600, training accuracy 0.98, test accuracy 0.972
step 1700, training accuracy 1, test accuracy 0.9709
step 1800, training accuracy 0.96, test accuracy 0.9718
step 1900, training accuracy 0.98, test accuracy 0.9766
step 2000, training accuracy 1, test accuracy 0.9749
step 2100, training accuracy 0.96, test accuracy 0.9727
step 2200, training accuracy 0.94, test accuracy 0.9758
step 2300, training accuracy 0.96, test accuracy 0.9767
step 2400, training accuracy 0.96, test accuracy 0.9776
step 2500, training accuracy 0.98, test accuracy 0.9782
step 2600, training accuracy 1, test accuracy 0.9779
step 2700, training accuracy 0.96, test accuracy 0.9786
step 2800, training accuracy 0.94, test accuracy 0.9782
step 2900, training accuracy 1, test accuracy 0.9792
step 3000, training accuracy 0.98, test accuracy 0.9789
step 3100, training accuracy 1, test accuracy 0.9813
step 3200, training accuracy 0.98, test accuracy 0.9792
step 3300, training accuracy 0.98, test accuracy 0.9816
step 3400, training accuracy 1, test accuracy 0.9833
step 3500, training accuracy 0.98, test accuracy 0.9826
step 3600, training accuracy 1, test accuracy 0.9809
step 3700, training accuracy 1, test accuracy 0.982
step 3800, training accuracy 1, test accuracy 0.9837
step 3900, training accuracy 1, test accuracy 0.9837
step 4000, training accuracy 0.98, test accuracy 0.9828
step 4100, training accuracy 0.98, test accuracy 0.9841
step 4200, training accuracy 1, test accuracy 0.986
step 4300, training accuracy 0.96, test accuracy 0.9838
step 4400, training accuracy 1, test accuracy 0.9845
step 4500, training accuracy 1, test accuracy 0.9844
step 4600, training accuracy 0.98, test accuracy 0.9857
step 4700, training accuracy 1, test accuracy 0.9868
step 4800, training accuracy 0.96, test accuracy 0.9854
step 4900, training accuracy 1, test accuracy 0.9869
step 5000, training accuracy 0.98, test accuracy 0.9865
step 5100, training accuracy 1, test accuracy 0.9855
step 5200, training accuracy 0.98, test accuracy 0.987
step 5300, training accuracy 0.98, test accuracy 0.9876
step 5400, training accuracy 1, test accuracy 0.9866
step 5500, training accuracy 1, test accuracy 0.9876
step 5600, training accuracy 1, test accuracy 0.9871
step 5700, training accuracy 0.96, test accuracy 0.9869
step 5800, training accuracy 0.98, test accuracy 0.9892
step 5900, training accuracy 0.96, test accuracy 0.9862
step 6000, training accuracy 0.98, test accuracy 0.9877
step 6100, training accuracy 0.98, test accuracy 0.9878
step 6200, training accuracy 0.98, test accuracy 0.9876
step 6300, training accuracy 0.96, test accuracy 0.9883
